Cartera,Subdirección,Zona,Sucursal,Corte,Plazo,Suma de Monto,Capital,Interes,Total,Tasa de Ganancia,Vales
Viva Vale,Pacifico,Los Cabos,San Jose Del Cabo,22/05/2026,12,21001000,21001000,11468992,32469992,54.61%,2528
Viva Vale,Pacifico,Mazatlan,La Cruz,22/05/2026,12,7550000,7550000,4092048,11642048,54.20%,972
Viva Vale,Pacifico,Mazatlan,Mazatlán Centro,22/05/2026,12,9647000,9647000,5236892,14883892,54.29%,1323
Viva Vale,Pacifico,Sinaloa Centro,Culiacán Centro,22/05/2026,12,10653000,10653000,5703128,16356128,53.54%,1448
Viva Vale,Pacifico,Sinaloa Sur 1,El Dorado,22/05/2026,12,1351000,1351000,733016,2084016,54.26%,176
Viva Vale,Pacifico,Sinaloa Sur 1,Navolato,22/05/2026,12,1592000,1592000,859852,2451852,54.01%,207
Viva Vale,Sureste,Tabasco Centro,Macuspana,22/05/2026,12,23839000,23839000,13194544,37033544,55.35%,2931
Viva Vale,Sureste,Tabasco Centro,Teapa,22/05/2026,12,18772000,18772000,10209872,28981872,54.39%,2354
Viva Vale,Sureste,Tabasco Centro,Villahermosa,22/05/2026,12,30874000,30874000,16894964,47768964,54.72%,4145
Viva Vale,Sureste,Tabasco Norte,Cardenas 2,22/05/2026,12,40811000,40811000,22263196,63074196,54.55%,5573
Viva Vale,Sureste,Tabasco Norte,Comalcalco,22/05/2026,12,23100000,23100000,12737408,35837408,55.14%,3008
Viva Vale,Sureste,Tabasco Norte,Paraiso,22/05/2026,12,33408000,33408000,18433660,51841660,55.18%,4316
Viva Vale,Sureste,Veracruz Centro,Cordoba,22/05/2026,12,15008000,15008000,8184116,23192116,54.53%,2047
Viva Vale,Sureste,Veracruz Centro,Orizaba,22/05/2026,12,28935000,28935000,15761196,44696196,54.47%,3991
Viva Vale,Sureste,Veracruz Norte,Poza Rica 2,22/05/2026,12,55994000,55994000,30703460,86697460,54.83%,7244
Viva Vale,Sureste,Veracruz Norte,Tuxpan,22/05/2026,12,20187000,20187000,11079732,31266732,54.89%,2542
Viva Vale,Sureste,Veracruz Sur,Acayucan,22/05/2026,12,12459000,12459000,6849372,19308372,54.98%,1584
Viva Vale,Sureste,Veracruz Sur,Coatzacoalcos 2,22/05/2026,12,53644000,53644000,29480452,83124452,54.96%,7112
Viva Vale,Sureste,Veracruz Sur,Minatitlán,22/05/2026,12,29343000,29343000,16038364,45381364,54.66%,3989
Vale Amigo,Baja Sonora Norte,Baja Norte,Ensenada,07/06/2026,12,31709000,31709000,17206044,48915044,54.26%,3871
Vale Amigo,Baja Sonora Norte,Baja Norte,Rosarito,07/06/2026,12,18900000,18900000,10311464,29211464,54.56%,2339
Vale Amigo,Baja Sonora Norte,Baja Norte,San Quintin,07/06/2026,12,1167000,1167000,645764,1812764,55.34%,150
Vale Amigo,Baja Sonora Norte,Baja Norte,Tecate,07/06/2026,12,13066000,13066000,7173160,20239160,54.90%,1541
Vale Amigo,Baja Sonora Norte,Baja Norte,Tijuana,07/06/2026,12,38622000,38622000,21135568,59757568,54.72%,4741
